date,ticker,ml_datadate,ml_available_from,ml_bucket,ml_model,ml_score,ml_ensemble_score,z_ml_score,mom_20d,mom_60d,vol_20d,drawdown_60d,z_mom_20d,z_mom_60d,z_vol_20d,z_drawdown_60d,technical_score,z_technical_score,finrl_score,rank,selected,financials_available_as_of,latest_actual_year,business_quality_score,valuation_score,catalyst_score,risk_score,news_count,positive_catalysts,negative_catalysts,neutral_catalysts,catalyst_articles_used,risk_term_hits,risk_weighted_hits,news_start_date,news_end_date,top_news_titles,finrobot_score,finrobot_decision,finrobot_multiplier,finrobot_rationale,evidence_path,initial_weight,after_finrobot_raw_weight,after_finrobot_weight
2026-02-20,TXN,2025-09-30,2025-12-01,growth_tech,Stacking,0.0562034950349235,0.0315455030255329,0.0239840681976806,0.134233710888034,0.3874796452721105,0.0270079379923308,-0.0498905036830576,1.320800347356769,1.6474879002720837,0.2060574532146418,1.436705840403706,1.2177028700961114,1.4728237606696013,0.6035199451864489,3,1,2026-02-06,2025A,0.7314,0.47,0.8353,0.408,84,12,3,69,84,22,23.3,2026-01-21,2026-02-20,My Top 8 Tech Picks For Income Amid The AI Correction | Texas Instruments Executes a $7.5B Deal and an AI Strategy Pivot | Texas Instruments to acquire Silicon Labs in $7.5B all-cash deal,0.6545,keep,1.0,"quality=0.73, valuation=0.47, catalyst=0.84, risk=0.41",finrobot_outputs/TXN/analysis,0.2,0.2,0.23809523809523808
2026-02-20,META,2025-09-30,2025-12-01,growth_tech,Stacking,0.077378588850919,0.0850697387242993,0.4410047214279822,0.0123990573958328,0.1042401925280167,0.0293417342879317,-0.1341171192780348,0.2949655185608736,0.3825047815277519,0.488063867466207,0.5241666997906634,0.2310699708181979,0.2794814332427516,0.3763954061538899,4,1,2026-01-28,2025A,0.8733,0.87,0.8695,0.5399,345,47,10,288,345,73,78.9,2026-01-21,2026-02-20,"Yann LeCun Says LLMs Are 'Incredibly' Useful, But AI Still Can't Learn To Drive A Car Like A 17-Year Old: 'We're Missing Something Big' | Meta Slashes Employee Equity For Second Year As Mark Zuckerberg-Led Tech Giant Gears Up To Fund Mega $135 Billion 'Superintelligence' Infrastructure | First Look: Walmart beat, Meta trial, FDA eyes Moderna",0.8384,strong_keep,1.2,"quality=0.87, valuation=0.87, catalyst=0.87, risk=0.54",finrobot_outputs/META/analysis,0.2,0.24,0.2857142857142857
2026-02-20,GOOGL,2025-09-30,2025-12-01,growth_tech,Stacking,0.0701848040119471,0.085578750771809,0.2993308814528237,-0.0470745365923606,0.0518121827623407,0.015566432267043,-0.1212430620914378,-0.2057958195149171,0.1483546775771433,-1.1764873769871684,0.6636485132088076,0.2124437672149893,0.2569528542999179,0.2823796705916614,5,1,2026-02-04,2025A,0.8182,0.53,0.9234,0.688,369,56,6,307,369,61,61.8,2026-01-21,2026-02-20,"Zillow and Google bring home-buying guidance to NotebookLM | Alphabet Teams Up With Sea on AI for Shopee, Garena | Amazon vs. Alphabet: Which Is the Better AI Stock to Buy Now?",0.7542,keep,1.0,"quality=0.82, valuation=0.53, catalyst=0.92, risk=0.69",finrobot_outputs/GOOGL/analysis,0.2,0.2,0.23809523809523808
2026-02-27,TSLA,2025-09-30,2025-12-01,cyclical,RF,0.2430436365000004,0.1896896357886146,3.7035993048749862,-0.033728605423742,-0.0642349094291891,0.0213299466666945,-0.18916880155152,-0.0695096231497272,-0.2430594389800183,-0.4506398692930073,-0.0206957418983556,-0.0473482466987818,-0.0602944434211792,2.19804180555652,1,1,2026-01-28,2025A,0.4257,0.2,0.7136,0.5445,406,12,8,386,406,83,93.6,2026-01-28,2026-02-27,"Every ""Magnificent Seven"" Stock Is Underperforming the S&P 500 in 2026. Here's One to Buy and One to Avoid. | German union says settlement reached in dispute with Tesla | Palantir Billionaire Peter Thiel Dumped Nvidia, Tesla, Microsoft, and Apple. What Stocks Does He Own for 2026?",0.4387,reject,0.0,"quality=0.43, valuation=0.20, catalyst=0.71, risk=0.54",finrobot_outputs/TSLA/analysis,0.2,0.0,0.0
2026-02-27,AMAT,2025-09-30,2025-12-01,growth_tech,Stacking,0.0506727669886239,0.0629257916240102,-0.0849376604496226,0.0920615943089564,0.4632553899667155,0.0380926119417094,-0.128142025801047,1.1555386880485523,2.706111311443684,1.2151227157112845,0.6051908819431677,1.2876051150623344,1.6396686080657794,0.6049048469565382,2,1,2025-12-12,2025A,0.7259,0.93,0.8727,0.25,113,17,3,93,113,40,41.4,2026-01-28,2026-02-27,AI Spending Is Poised to Hit $700 Billion in 2026. 2 Top Stocks to Buy to Capitalize on This Massive Number. | Earnings Estimates Moving Higher for Applied Materials (AMAT): Time to Buy? | Applied Materials (AMAT) Upgraded to Strong Buy: Here's Why,0.7587,keep,1.0,"quality=0.73, valuation=0.93, catalyst=0.87, risk=0.25",finrobot_outputs/AMAT/analysis,0.2,0.2,0.25641025641025644
2026-02-27,TXN,2025-09-30,2025-12-01,growth_tech,Stacking,0.0562034950349235,0.0315455030255329,0.0239840681976806,-0.0250057101446006,0.2695914111944364,0.0166029416065047,-0.0637800277876022,0.0154410975994174,1.623346107495904,-0.920378305228166,1.2652833273484547,0.8389326551824037,1.0683178583965682,0.4417175842772357,3,1,2026-02-06,2025A,0.7634,0.55,0.825,0.3461,74,11,3,60,74,21,22.3,2026-01-28,2026-02-27,Why Is Texas Instruments (TXN) Down 1.1% Since Last Earnings Report? | My Top 8 Tech Picks For Income Amid The AI Correction | Texas Instruments Executes a $7.5B Deal and an AI Strategy Pivot,0.6806,keep,1.0,"quality=0.76, valuation=0.55, catalyst=0.82, risk=0.35",finrobot_outputs/TXN/analysis,0.2,0.2,0.25641025641025644
2026-02-27,COST,2025-09-30,2025-12-01,defensive,RF,0.049668911551537,0.0389478532666549,-0.1047075114717953,0.0622117050974226,0.109885212625242,0.0145085514317603,-0.0783510351756712,0.8648359429559263,0.7304370814511979,-1.1285049207903015,1.115844027828888,0.8824474965917238,1.1237307474952334,0.3866677921150162,4,1,2025-10-07,2025A,0.4933,0.45,0.65,0.25,116,7,7,102,116,43,43.3,2026-01-28,2026-02-27,Costco's 2x P/E Over Amazon Is Not Irrational (Rating Upgrade) | Where Will Costco Be in 5 Years? | Consumer Staples ETFs: Sector-Wide Defense or a Food-and-Beverage Tilt? VDC vs. PBJ,0.4895,reduce,0.7,"quality=0.49, valuation=0.45, catalyst=0.65, risk=0.25",finrobot_outputs/COST/analysis,0.2,0.13999999999999999,0.17948717948717946
2026-02-27,META,2025-09-30,2025-12-01,growth_tech,Stacking,0.077378588850919,0.0850697387242993,0.4410047214279822,-0.1220761198607692,0.0122312635499874,0.0170067481652043,-0.1368801227655884,-0.9299103029294904,0.1844589457282671,-0.8802506855432621,0.5155735305317374,-0.1238085342822395,-0.1576608889623714,0.2015384772718407,5,1,2026-01-28,2025A,0.8853,0.87,0.8174,0.5744,349,33,11,305,349,70,74.9,2026-01-28,2026-02-27,"Google Scores Major Win As Meta Reportedly Agrees To Multi-Year AI Chip Rental Deal, Challenging Nvidia's Dominance | Google signs multibillion-dollar AI chip deal with Meta, Information reports | Woman Suing Meta, YouTube Testifies It's ‘Too Hard to Be Without' Social Media",0.8368,strong_keep,1.2,"quality=0.89, valuation=0.87, catalyst=0.82, risk=0.57",finrobot_outputs/META/analysis,0.2,0.24,0.30769230769230765
2026-03-06,NFLX,2025-12-31,2026-03-01,growth_tech,Stacking,0.0654009384477764,0.0734972715633914,0.8196795119900585,0.2244341941394516,0.0230395258440514,0.03799317753401,-0.2155929962930651,2.83518242086312,0.5361556214825806,1.7630230986954651,-0.3147021436912163,1.0258037566907097,2.143212000039136,1.3490925072096895,1,1,2026-01-23,2025A,0.7625,0.66,0.72,0.9894,292,14,9,269,292,14,16.5,2026-02-04,2026-03-06,"Netflix Buys Ben Affleck's AI Company Shortly After Ditching Warner Bros. Acquisition | Netflix Acquires InterPositive, Ben Affleck's AI Filmmaking Company | Netflix Gets Back In The M&A Game, Acquiring Ben Affleck-Founded AI Firm InterPositive",0.7511,keep,1.0,"quality=0.76, valuation=0.66, catalyst=0.72, risk=0.99",finrobot_outputs/NFLX/analysis,0.2,0.2,0.2127659574468085
2026-03-06,META,2025-12-31,2026-03-01,growth_tech,Stacking,0.0852794337558717,0.0890262086826096,1.8206407516847432,-0.0378240446370758,-0.032114653407429,0.0158589844975112,-0.1368801227655882,-0.6128317981232303,0.1033032624572498,-0.7903088441450383,0.5150565512866259,-0.0389245956388363,-0.0813251656817418,1.0598543847381492,2,1,2026-01-28,2025A,0.8533,0.8,0.7156,0.5788,349,18,12,319,349,69,74.6,2026-02-04,2026-03-06,"Meta to Open Up WhatsApp to Rival AI Chatbots for a Fee Following EU Objections | Meta will allow rival AI chatbots on WhatsApp in Europe, but for a fee | AMD Shares Rise on Meta AI Deal, Chip Demand",0.785,keep,1.0,"quality=0.85, valuation=0.80, catalyst=0.72, risk=0.58",finrobot_outputs/META/analysis,0.2,0.2,0.2127659574468085
2026-03-06,ISRG,2025-12-31,2026-03-01,defensive,RF,0.082257447572457,0.0506139720082004,1.6684717374002926,0.0290560886065616,-0.1353525534118166,0.0153344397241589,-0.1965589492460507,0.2664681295646969,-0.7069121947244628,-0.8508187042985895,-0.1140530588580436,-0.024614516568699,-0.0514271145344459,0.9805121966263972,3,1,2026-02-03,2025A,0.7301,0.2,0.8,0.3054,44,4,1,39,44,14,13.9,2026-02-04,2026-03-06,Can Digital Subscriptions Become ISRG's New Revenue Stream in 2026? | Will ISRG's R&D Focus Following Solid Earnings Growth Drive Demand? | Can Intuitive Surgical Sustain Robust Top-line Growth in 2026?,0.5691,reduce,0.7,"quality=0.73, valuation=0.20, catalyst=0.80, risk=0.31",finrobot_outputs/ISRG/analysis,0.2,0.13999999999999999,0.14893617021276592
2026-03-06,AMAT,2025-12-31,2026-03-01,growth_tech,Stacking,0.0509808336413558,0.012428836859274,0.0935699267397076,0.0695911520820333,0.2125036548033403,0.0377031991294158,-0.1777693880304338,0.799398861819161,2.0230782134547263,1.7295720882175465,0.0840187570315665,0.7768029819073431,1.6229746300217265,0.7053318080525152,4,1,2025-12-12,2025A,0.6539,0.86,0.895,0.2693,105,16,2,87,105,34,35.5,2026-02-04,2026-03-06,"AMAT Climbs 33.4% in 3 Months: Time to Buy, Sell or Hold the Stock? | NeoMagic (OTCMKTS:NMGC) vs. Applied Materials (NASDAQ:AMAT) Financial Comparison | AI Spending Is Poised to Hit $700 Billion in 2026. 2 Top Stocks to Buy to Capitalize on This Massive Number.",0.7152,keep,1.0,"quality=0.65, valuation=0.86, catalyst=0.90, risk=0.27",finrobot_outputs/AMAT/analysis,0.2,0.2,0.2127659574468085
2026-03-06,GOOGL,2025-12-31,2026-03-01,growth_tech,Stacking,0.0785743041074396,0.0756372014050388,1.483010826421994,-0.0988075337492362,-0.0484509205231006,0.0147429507702485,-0.1314266287735543,-1.414606181124798,-0.0249044609583167,-0.9190510377460436,0.5725450389394101,-0.3794468742294824,-0.7927784324455016,0.5726951228749956,5,1,2026-02-04,2025A,0.7502,0.48,0.9082,0.744,359,52,7,300,359,52,52.5,2026-02-04,2026-03-06,"AVGO Catching Up to NVDA? GOOGL Partnership & Earnings Growth Back Bulls | Google lowering fees on Android app store following settlement with Epic Games | Google's AI chatbot allegedly told user to stage 'mass casualty attack,' wrongful death suit claims",0.7136,keep,1.0,"quality=0.75, valuation=0.48, catalyst=0.91, risk=0.74",finrobot_outputs/GOOGL/analysis,0.2,0.2,0.2127659574468085
2026-03-13,NFLX,2025-12-31,2026-03-01,growth_tech,Stacking,0.0654009384477764,0.0734972715633914,0.8196795119900585,0.2563933138907477,0.0164231734100335,0.035584877713602,-0.1997046114815984,3.3172274003225333,0.4028091237815475,1.884120926988746,-0.1847420841667226,1.1667818059875708,2.011823533831073,1.2965371207264642,1,1,2026-01-23,2025A,0.7745,0.66,0.7577,0.9922,292,16,8,268,292,14,16.0,2026-02-11,2026-03-13,Link: Netflix simpler story without Warner Bros. Discovery deal | Netflix Has No Rivals | Netflix's AI Drive Followed by This TV Group. It Just Struck a Deal With Google.,0.7643,keep,1.0,"quality=0.77, valuation=0.66, catalyst=0.76, risk=0.99",finrobot_outputs/NFLX/analysis,0.2,0.2,0.2
2026-03-13,GOOGL,2025-12-31,2026-03-01,growth_tech,Stacking,0.0785743041074396,0.0756372014050388,1.483010826421994,-0.021058906885412,-0.0185815456954409,0.0146892058093705,-0.1314266287735538,-0.1933790918272067,0.1772711501058004,-0.7127177381934022,0.5312054007245979,0.1447214666076175,0.2495359894006217,0.989620891613445,2,1,2026-02-04,2025A,0.7622,0.48,0.8971,0.7476,279,28,4,247,279,39,41.1,2026-02-11,2026-03-13,"If I Had $5,000 to Invest in Artificial Intelligence (AI), I'd Put It in This Stock | AI's Next Steps & GOOGL, META, AMZN ""Early Monetizers"" Leading Momentum | Alphabet Spins Off Fiber Control, Keeps a Seat at the Table",0.7172,keep,1.0,"quality=0.76, valuation=0.48, catalyst=0.90, risk=0.75",finrobot_outputs/GOOGL/analysis,0.2,0.2,0.2
2026-03-13,META,2025-12-31,2026-03-01,growth_tech,Stacking,0.0852794337558717,0.0890262086826096,1.8206407516847432,-0.055554751263939,-0.0522000137928054,0.016704310420488,-0.1687637962976216,-0.6298554512114235,-0.0393351066082139,-0.4622878122010693,0.1396963062610808,-0.1823966653411757,-0.3144974509737914,0.9665854706213296,3,1,2026-01-28,2025A,0.8773,0.8,0.65,0.6881,346,15,15,316,346,56,58.7,2026-02-11,2026-03-13,"AI's Next Steps & GOOGL, META, AMZN ""Early Monetizers"" Leading Momentum | I Thought the ‘Magnificent Seven’ Trade Was Toast Until I Saw What Meta Is Doing With Its AI Chips | Meta rolls out in-house AI chips weeks after massive Nvidia, AMD deals",0.7936,keep,1.0,"quality=0.88, valuation=0.80, catalyst=0.65, risk=0.69",finrobot_outputs/META/analysis,0.2,0.2,0.2
2026-03-13,ISRG,2025-12-31,2026-03-01,defensive,RF,0.082257447572457,0.0506139720082004,1.6684717374002926,-0.013455918009356,-0.1561338519081557,0.0145262414341217,-0.2035759077236113,-0.097178376499151,-0.7089884517542764,-0.7329703624034712,-0.2253356210260326,-0.1996053164557397,-0.3441694677297134,0.8634152553482901,4,1,2026-02-03,2025A,0.7301,0.2,0.9417,0.4284,40,10,0,30,40,10,10.9,2026-02-11,2026-03-13,"Intuitive Surgical Stock: Buy, Sell, or Hold? | Intuitive Surgical Poised for Growth in 2026 on da Vinci 5 Momentum | Can Digital Subscriptions Become ISRG's New Revenue Stream in 2026?",0.6097,keep,1.0,"quality=0.73, valuation=0.20, catalyst=0.94, risk=0.43",finrobot_outputs/ISRG/analysis,0.2,0.2,0.2
2026-03-13,CSCO,2025-12-31,2026-03-01,growth_tech,Stacking,0.0590826365815586,0.070124973416022,0.5015279028891857,0.0443999541801416,0.0063788508154087,0.0151385265711066,-0.1357455048233353,0.634872713051503,0.33809281629994,-0.6568777760953567,0.4859186432259154,0.5194051016624751,0.8955842487036687,0.6591504412149789,5,1,2025-09-03,2025A,0.5672,0.86,0.8056,0.3222,90,12,4,74,90,28,27.5,2026-02-11,2026-03-13,Cisco Q2: The Valuation Makes No Sense | Cisco: The Only Undervalued 'Full-Stack' AI Play | Cisco's Networking Revenue Growth Picks Up: More Upside Ahead?,0.6636,keep,1.0,"quality=0.57, valuation=0.86, catalyst=0.81, risk=0.32",finrobot_outputs/CSCO/analysis,0.2,0.2,0.2
2026-03-20,NFLX,2025-12-31,2026-03-01,growth_tech,Stacking,0.0654009384477764,0.0734972715633914,0.8196795119900585,0.1671539574418068,-0.0151239258965929,0.0367456123357612,-0.1969937585464234,2.515827303105101,0.3383977520564589,2.1161912640422336,-0.071036236358286,0.8002378212196375,1.704653814873955,1.1736692331436172,1,1,2026-01-23,2025A,0.7625,0.66,0.776,0.9546,272,16,7,249,272,17,19.0,2026-02-18,2026-03-20,"Crashing 51%, 3 Reasons to Buy This Netflix Rival in March and Hold for 5 Years | AMZN, NFLX and AAPL Forecasts – Big Three Sluggish Ahead of Fed | Netflix vs. Disney: Which Streaming Giant Is the Better Buy for 2026 and Beyond?",0.7588,keep,1.0,"quality=0.76, valuation=0.66, catalyst=0.78, risk=0.95",finrobot_outputs/NFLX/analysis,0.2,0.2,0.2127659574468085
2026-03-20,GOOGL,2025-12-31,2026-03-01,growth_tech,Stacking,0.0785743041074396,0.0756372014050388,1.483010826421994,-0.0437110553767479,-0.0276586620503502,0.0127230097346528,-0.1314266287735539,-0.0984600612387062,0.2604802059296428,-0.9334404644689828,0.648176402566537,0.2566177575068936,0.5466430449785783,1.1084637138446276,2,1,2026-02-04,2025A,0.7502,0.48,0.85,0.7022,269,21,5,243,269,42,44.3,2026-02-18,2026-03-20,Google expands utility deals to curb data‑center power use during peak demand | GOOGL's Wiz Buyout Expands Cloud Security Portfolio: What's Ahead? | Google Sits Pretty as A.I. Rivals Compete for Pentagon Favor,0.6978,keep,1.0,"quality=0.75, valuation=0.48, catalyst=0.85, risk=0.70",finrobot_outputs/GOOGL/analysis,0.2,0.2,0.2127659574468085
2026-03-20,META,2025-12-31,2026-03-01,growth_tech,Stacking,0.0852794337558717,0.0890262086826096,1.8206407516847432,-0.0937860332443131,-0.1017864951109293,0.0175133257040695,-0.1952320028515344,-0.7192855844449546,-0.2003080213556403,-0.3253173642161701,-0.0517113556314458,-0.314195572183175,-0.6692943854143982,0.8246666968450866,3,1,2026-01-28,2025A,0.8533,0.8,0.6862,0.6523,378,15,12,351,378,67,68.7,2026-02-18,2026-03-20,Meta on trial over child safety: can it really protect its next generation of users? | Meta is having trouble with rogue AI agents | China Ramps Up Scrutiny of Meta's Acquisition of Manus,0.7865,keep,1.0,"quality=0.85, valuation=0.80, catalyst=0.69, risk=0.65",finrobot_outputs/META/analysis,0.2,0.2,0.2127659574468085
2026-03-20,ISRG,2025-12-31,2026-03-01,defensive,RF,0.082257447572457,0.0506139720082004,1.6684717374002926,-0.0517408733337328,-0.1756722019676977,0.0141887901069163,-0.2035759077236116,-0.1980130944438415,-0.6595911607457734,-0.7473619448136049,-0.1432365125625563,-0.2122815035727722,-0.4521986655679267,0.8202035762130049,4,1,2026-02-03,2025A,0.7301,0.2,0.9462,0.2807,45,11,0,34,45,14,14.9,2026-02-18,2026-03-20,"2 Stocks That Could Create Lasting Generational Wealth | Intuitive Surgical Stock: Buy, Sell, or Hold? | Intuitive Surgical Poised for Growth in 2026 on da Vinci 5 Momentum",0.5959,reduce,0.7,"quality=0.73, valuation=0.20, catalyst=0.95, risk=0.28",finrobot_outputs/ISRG/analysis,0.2,0.13999999999999999,0.14893617021276592
