date,ticker,news_window_days,raw_news_count,filtered_news_count,news_count,positive_news,negative_news,neutral_news,high_impact_news,risk_news_count,risk_weighted_hits,historical_catalyst_score,historical_risk_score,news_start_date,news_end_date,top_news_titles
2026-01-16,COST,30,138,110,110,11,2,97,11,30,31.1,0.86,0.388,2025-12-17,2026-01-16,Read This Before Buying Costco Stock for the Long Term​ | MoneyShow's Best Investment Ideas For 2026: Part 3 | Costco: The Retail Media Transformation Everyone Is Missing
2026-01-16,GOOGL,30,500,339,339,36,4,299,80,43,48.9,0.9167,0.7662,2025-12-17,2026-01-16,Publishers seek to join lawsuit against Google over AI training | Siri to Get Smarter With Gemini: The ETF Playbook for Investors | 2 Leading Tech Stocks to Buy in 2026
2026-01-16,TSLA,30,495,389,389,13,21,355,54,97,103.8,0.5722,0.4383,2025-12-17,2026-01-16,"BLBD or TSLA: Which Is the Better Value Stock Right Now? | TSLA, PLTR and SCMI Forecast – Major Tech Somewhat Sideways | Tesla to End One-Time FSD Purchase: Why the Shift Matters"
2026-01-23,AMAT,30,58,43,43,4,1,38,5,16,16.1,0.8,0.25,2025-12-24,2026-01-23,"Can AMAT Lead the Display Market With Advanced OLED and AR/VR Push? | Applied Materials to Report Fiscal First Quarter 2026 Results on Feb. 12, 2026 | Applied Materials FY25 HBM Revenues Hit $1.5B: A New Growth Driver?"
2026-01-23,AMD,30,321,249,249,40,5,204,44,42,42.3,0.9106,0.6806,2025-12-24,2026-01-23,4 Top Artificial Intelligence Stocks to Buy Right Now | AMD Rides on Expanding Enterprise Partner Base: More Upside to Come? | AMD's stock is on a hot streak not seen in six years
2026-01-23,COST,30,136,109,109,14,2,93,12,30,31.1,0.8833,0.3811,2025-12-24,2026-01-23,"Costco: Strong Start To 2026 Likely Short-Lived | Costco Stock Rallies on December Sales: Buy, Hold or Take Profits? | Costco Switches Food Court Back to Coke After Decade With Pepsi"
2026-01-23,GOOGL,30,499,337,337,36,5,296,67,51,57.4,0.9023,0.6981,2025-12-24,2026-01-23,Judge Orders Google to Face Consumer Antitrust Lawsuit Over Search | MAI Capital Management's Chris Grisanti explains why he is ‘happy to hold' Alphabet | Alphabet: Q4 Earnings Surprises May Not Be Just About AI
2026-01-23,TSLA,30,490,380,380,13,18,349,63,91,97.1,0.597,0.4671,2025-12-24,2026-01-23,"Tesla: Clear Skies In 2026, But A Storm Could Cut Valuation In 2027 | Tesla Needs 20M FSD Subscribers Annually To Justify Its Valuation | Tesla Gears Up to Report Q4 Earnings: Here's What to Expect"
2026-01-30,AMAT,30,63,46,46,2,3,41,6,16,16.0,0.6,0.2535,2025-12-31,2026-01-30,"Applied Materials: When Chip Complexity Becomes The Real Alpha | Can AMAT Lead the Display Market With Advanced OLED and AR/VR Push? | Applied Materials to Report Fiscal First Quarter 2026 Results on Feb. 12, 2026"
2026-01-30,GOOGL,30,500,344,344,48,5,291,90,63,71.9,0.9236,0.6018,2025-12-31,2026-01-30,"AAPL Earnings ""Well Enough,"" Google Gemini Partnership Real ""Tectonic Shift"" | iPhone Sales, Siri & Google Gemini: AAPL Earnings Preview & Options Trade | Decoding Google Stock's Recent Volatility"
2026-01-30,META,30,491,349,349,42,8,299,135,73,79.7,0.8788,0.543,2025-12-31,2026-01-30,Cramer says Microsoft and Meta's earnings offer a clear lesson: Don't give up on the tech giants | Meta's AI reset drives stock higher following earnings | Buy Meta Stock After Strong Q4 Results & CapEx Hike?
2026-01-30,TSLA,30,486,363,363,12,7,344,137,58,67.9,0.7333,0.662,2025-12-31,2026-01-30,Elon Musk's Cryptic Post From Last Year Resurfaces Amid SpaceX–Tesla Merger Talks | Tesla: SpaceX Merger Rumors Aren't Enough To Keep Me Bullish (Rating Downgrade) | Tesla CEO Elon Musk doubles down on robots
2026-01-30,TXN,30,95,63,63,10,0,53,26,18,19.0,0.9417,0.3437,2025-12-31,2026-01-30,Texas Instruments Q4 2025 Update | How Texas Instruments Stock Jumped 9.9% Wednesday | Texas Instruments Surges on Strong Q1 Guidance Despite EPS Miss
2026-02-06,AMAT,30,78,63,63,7,2,54,8,22,22.2,0.8091,0.25,2026-01-07,2026-02-06,Applied Materials (AMAT) Expected to Beat Earnings Estimates: Can the Stock Move Higher? | Will Applied Materials (AMAT) Beat Estimates Again in Its Next Earnings Report? | Applied Materials: Attractive Buy Ahead Of The Q1 2026 Report
2026-02-06,CSCO,30,75,66,66,8,2,56,5,25,25.8,0.825,0.25,2026-01-07,2026-02-06,"Cisco Systems, Inc. (CSCO) Presents at Second Annual AI Summit Prepared Remarks Transcript | CRWD vs. CSCO: Which Cybersecurity Stock Has an Edge Right Now? | DELL vs. CSCO: Which AI Infrastructure Stock Is the Better Buy Now?"
2026-02-06,GOOGL,30,500,368,368,57,7,304,138,61,66.4,0.9152,0.6665,2026-01-07,2026-02-06,"RDDT Takes Big Steps as ""Baby"" META, Faces Double-Edged Sword in GOOGL | GOOGL ""Invented AI as We Know It,"" PLTR ""Really Expensive"" | Alphabet Crushes Earnings Again, Reports 48% Cloud Revenue Growth"
2026-02-06,TSLA,30,485,391,391,15,7,369,146,68,75.4,0.7667,0.6378,2026-01-07,2026-02-06,"Tesla Shareholders Are The Only Ones Not Invited To Musk's New $1.25T Empire | Backed by OpenAI, Tesla, and SpaceX Investors, Midas Is Building Mathematical Infrastructure to Secure AI Systems | Will Tesla and SpaceX Merge? How to Bet on Another Musk Megamerger."
2026-02-06,TXN,30,98,68,68,10,1,57,29,15,16.3,0.8923,0.5126,2026-01-07,2026-02-06,Texas Instruments to acquire Silicon Labs in $7.5B all-cash deal | Texas Instruments to acquire Silicon Labs in $7.5B all-cash deal | Texas Instruments to Acquire Silicon Labs in Deal Valued at $7.5 Billion
2026-02-13,AMAT,30,127,89,89,11,3,75,20,30,31.2,0.825,0.25,2026-01-14,2026-02-13,"Applied Materials' stock jumps after earnings. The CEO just made a bold prediction for the chip sector. | Applied Materials, Inc. (AMAT) Q1 2026 Earnings Call Transcript | Applied Materials (AMAT) Q1 Earnings: Taking a Look at Key Metrics Versus Estimates"
2026-02-13,COST,30,148,127,127,8,7,112,17,43,43.6,0.6706,0.2609,2026-01-14,2026-02-13,"Consumer Staples ETFs: Sector-Wide Defense or a Food-and-Beverage Tilt? VDC vs. PBJ | XLP Provides Broad Staples Exposure, While PBJ Focuses on a Specific Sub-Sector. Which ETF is Right for Average Investors? | Should You Buy Costco Stock Before March 5?"
