date,ticker,ml_datadate,ml_available_from,ml_bucket,ml_model,ml_score,ml_ensemble_score,z_ml_score,mom_20d,mom_60d,vol_20d,drawdown_60d,z_mom_20d,z_mom_60d,z_vol_20d,z_drawdown_60d,technical_score,z_technical_score,finrl_score,rank,selected
2026-01-02,TXN,2025-09-30,2025-12-01,growth_tech,Stacking,0.05620349503492359,0.031545503025532995,0.023984068197680616,-0.027820391380118492,0.011604080732178446,0.01085629347529443,-0.14813556350922497,-0.12885061687169802,-0.2145172398629948,-0.7595397800369206,-0.21604191584243596,-0.03429450527943291,-0.05055614521613869,-0.005832017167847108,11,0
2026-01-02,MSFT,2025-09-30,2025-12-01,growth_tech,Stacking,0.060184816164550514,0.020868385760260857,0.10239189734941982,-0.010026565747728644,-0.09571894288410898,0.010827021663444188,-0.12741233334128554,0.3231648767929954,-1.0658888635472197,-0.7641496406957002,0.11646884889832813,-0.1175258205301409,-0.17325377348221954,-0.007866370983235928,12,0
2026-01-02,AMZN,2025-09-30,2025-12-01,cyclical,RF,0.0385132606496605,0.018400740299499275,-0.32440603402547435,-0.025303402871420633,0.021282357501499538,0.01166425056043468,-0.14511811263917918,-0.0649117075661886,-0.13774144721460607,-0.6322989519041898,-0.1676259648427287,0.00390805674976805,0.005761164447316658,-0.19233915463635795,13,0
2026-01-02,ISRG,2025-09-30,2025-12-01,defensive,RF,-0.011923773495761618,-0.019503967396510637,-1.317709067726067,-0.013568379009975096,0.27450441637675627,0.012289707724023964,-0.06314023546093372,0.2331924052583585,1.8710174206689127,-0.5337990576395895,1.1477349326361816,0.9429764112470195,1.390113430532213,-0.23458006842275503,14,0
2026-01-02,AMGN,2025-09-30,2025-12-01,defensive,RF,0.016664531245288324,0.008906111003527551,-0.7546932142211408,-0.051473498449803534,0.11652188773822969,0.013247081569385543,-0.09150113314785246,-0.7297090882139045,0.6177742917611114,-0.38302738528612734,0.692675383415839,0.051059012965330206,0.07526998430317118,-0.42270793481141594,15,0
2026-01-02,COST,2025-09-30,2025-12-01,defensive,RF,0.04966891155153702,0.038947853266654925,-0.1047075114717953,-0.07347169920762975,-0.06459455861248165,0.01120330775359578,-0.10867912234290888,-1.2885280729961195,-0.818985480837401,-0.7048903624415774,0.4170491283548143,-0.6546176802898201,-0.9650218376420681,-0.4488332419399044,16,0
2026-01-02,INTU,2025-09-30,2025-12-01,growth_tech,Stacking,0.026242889258774865,0.008131279215396442,-0.5660577753245,-0.028131107977319658,-0.04161088266233148,0.018002327290235064,-0.07939831516830442,-0.1367437321002772,-0.63666067435532,0.36585076012983464,0.8868689154706895,-0.24371945133687917,-0.3592854270207056,-0.48334883600298223,17,0
2026-01-02,AVGO,2025-09-30,2025-12-01,growth_tech,Stacking,0.05663029125072373,0.05081976758652647,0.03238935972818375,-0.08492915727502748,0.03529956421111935,0.03395382473904899,-0.2105480118280897,-1.5795811984718542,-0.026545809654546317,2.877966542853493,-1.2174693357798676,-1.1945654277738438,-1.7609999836601185,-0.6849663776271372,18,0
2026-01-02,PEP,2025-09-30,2025-12-01,defensive,RF,-0.03399657502304097,-0.024599292629951537,-1.7524091069096295,-0.02998010747799651,0.020109030745557144,0.010958997488246447,-0.0789148902967316,-0.18371375638571621,-0.14704920869633925,-0.7433654758555285,0.8946256200210289,0.07601465778242696,0.11205900321612701,-1.0066218628593266,19,0
2026-01-02,NFLX,2025-09-30,2025-12-01,growth_tech,Stacking,0.052250144476050635,0.024883101089937076,-0.05387291070572426,-0.12475953573416598,-0.23605867278798098,0.015920832201231586,-0.26700772306014386,-2.5913899322433447,-2.1791752739529406,0.038047261961314964,-2.1233832114968476,-2.017312729224749,-2.9738745158751505,-1.2218735527734947,20,0
2026-01-09,TSLA,2025-09-30,2025-12-01,cyclical,RF,0.24304363650000047,0.18968963578861464,3.7035993048749867,-0.014265150664018456,0.03673939961334738,0.025472265801656548,-0.16499775729647526,-0.08480002866933295,-0.1350167476925067,1.2006458941705807,-0.43229870114916363,-0.30450262740061396,-0.42059204455598787,2.053922765102597,1,1
2026-01-09,GOOGL,2025-09-30,2025-12-01,growth_tech,Stacking,0.07018480401194714,0.08557875077180907,0.29933088145282377,0.026107888597898476,0.33951892892350277,0.013684980420784126,-0.08201186250738446,0.5809864407435483,1.838091352354668,-0.41414431105773475,0.9646944491312591,1.034317641193339,1.4286437366515674,0.7510560235323213,2,1
2026-01-09,AMAT,2025-09-30,2025-12-01,growth_tech,Stacking,0.0506727669886239,0.06292579162401028,-0.08493766044962264,0.0946029954411407,0.3830622815412499,0.030533602939587626,-0.09769209686654512,1.7105302202290036,2.121848123986605,1.8940199299729197,0.7007317594451222,1.2128291179354873,1.675211418581321,0.6191219711627548,3,1
2026-01-09,AMZN,2025-09-30,2025-12-01,cyclical,RF,0.0385132606496605,0.018400740299499275,-0.32440603402547435,0.06730522989764132,0.14321366782464406,0.014754208656018352,-0.1451181126391793,1.2603663664214781,0.5588387501773702,-0.26766620133015,-0.09764270344216415,0.7301257689859768,1.0084809204513474,0.20874874776525437,4,1
2026-01-09,TXN,2025-09-30,2025-12-01,growth_tech,Stacking,0.05620349503492359,0.031545503025532995,0.023984068197680616,0.04755883655225035,0.10387871495703038,0.02296917486043459,-0.14455548276377872,0.9347311962828988,0.3025066451143506,0.8577368524297265,-0.08817133383079442,0.34229214305564387,0.4727885388450795,0.20350585645664016,5,1
2026-01-09,COST,2025-09-30,2025-12-01,defensive,RF,0.04966891155153702,0.038947853266654925,-0.1047075114717953,0.057719001280829074,-0.02146996362818765,0.014049754879641154,-0.10867912234290922,1.1022811337401595,-0.5143467716612334,-0.3641723112081653,0.5157750343119388,0.36709443352705073,0.5070465225875852,0.1399941021519569,6,0
2026-01-09,META,2025-09-30,2025-12-01,growth_tech,Stacking,0.07737858885091906,0.08506973872429933,0.4410047214279822,0.005326057262850181,-0.077693333940694,0.011176821683545666,-0.21621184829551487,0.2382759991854055,-0.8807347755936951,-0.7577476116635539,-1.2944420148451907,-0.22872883151861703,-0.315930038826073,0.1382308173263601,7,0
2026-01-09,MSFT,2025-09-30,2025-12-01,growth_tech,Stacking,0.060184816164550514,0.020868385760260857,0.10239189734941982,0.0015045626148915137,-0.0650212316125357,0.00896730797575015,-0.12741233334128532,0.17525623460838965,-0.798155124963803,-1.0604382633597993,0.20041821959058223,-0.030144238430947087,-0.04163651059921741,0.04478053416996493,8,0
2026-01-09,QCOM,2025-09-30,2025-12-01,growth_tech,Stacking,0.056284380731914975,0.04745805971541282,0.025577024832935526,-0.02431265853168474,0.10478783963170768,0.014526617478348373,-0.1496697028036631,-0.25049215668115066,0.30843109206638025,-0.2988448818000597,-0.17426464381923543,0.03515428743885823,0.04855660443732663,0.03476885667469197,9,0
2026-01-09,CSCO,2025-09-30,2025-12-01,growth_tech,Stacking,0.056077392911248275,0.049238557146736694,0.02150062276665803,-0.07445064963956427,0.08178464966764976,0.009152558118271674,-0.07445064963956405,-1.0773111599920397,0.15852736327594044,-1.0350600608309684,1.0919806898954654,-0.11098280873604499,-0.1532941992498722,-0.04841730603995407,10,0
