date,AMAT,AMD,AMZN,COST,CSCO,GOOGL,ISRG,META,NFLX,QQQ,TSLA,TXN
2026-02-13,0.3839200943987601,0.0,0.0,0.0,0.0,1.5192985158189354e-06,0.0,0.0,0.0,0.5787008474401351,0.0,0.03737753886258902
2026-02-17,0.3692426948377308,0.0,0.0,1.516980231016106e-07,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.030757153464246102
2026-02-18,0.3742301696737596,0.0,0.0,1.471537931541816e-07,0.0,0.0,0.0,0.0,0.0,0.5957738641061834,0.0,0.029995819066263973
2026-02-19,0.375980964152562,0.0,0.0,1.4622377698222992e-07,0.0,0.0,0.0,0.0,0.0,0.5946726717903871,0.0,0.02934621783327392
2026-02-20,0.377422345357757,0.0,0.0,1.4424081613196937e-07,0.0,0.0,0.0,0.0,0.0,0.5933307246846038,0.0,0.029246785716823053
2026-02-23,0.27364807837259447,0.0,0.0,0.0,0.0,4.3270657746843287e-07,0.0,0.0,0.0,0.6,0.0,0.1263514889208281
2026-02-24,0.2752294640423523,0.0,0.0,0.0,0.0,4.293485707065635e-07,0.0,0.0,0.0,0.6028804950079015,0.0,0.12188961160117531
2026-02-25,0.2815852759902554,0.0,0.0,0.0,0.0,4.230376972148508e-07,0.0,0.0,0.0,0.5987763248848906,0.0,0.11963797608715675
2026-02-26,0.2738012878664957,0.0,0.0,0.0,0.0,4.247687138883369e-07,0.0,0.0,0.0,0.6046395436304842,0.0,0.12155874373430622
2026-02-27,0.27259698144982153,0.0,0.0,0.0,0.0,4.3286668471068677e-07,0.0,0.0,0.0,0.605565461532982,0.0,0.12183712415051166
2026-03-02,0.2647731230496229,0.0,0.0,1.2035317714541997e-07,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.13522675659719993
2026-03-03,0.25657096439789034,0.0,0.0,1.2416562904243194e-07,0.0,0.0,0.0,0.0,0.0,0.6093412085966767,0.0,0.1340877028398039
2026-03-04,0.25771605139668785,0.0,0.0,1.2234954115091042e-07,0.0,0.0,0.0,0.0,0.0,0.6102048900382357,0.0,0.13207893621553535
2026-03-05,0.25286459341939393,0.0,0.0,1.209611884291683e-07,0.0,0.0,0.0,0.0,0.0,0.6162582753178657,0.0,0.1308770103015518
2026-03-06,0.24386843999196398,0.0,0.0,1.2645302378669864e-07,0.0,0.0,0.0,0.0,0.0,0.6246727690103695,0.0,0.13145866454464264
2026-03-09,0.32410666139028577,0.0,0.0,0.0,0.0,0.07589317688918962,0.0,1.617205246467941e-07,0.0,0.6,0.0,0.0
2026-03-10,0.32850430492087834,0.0,0.0,0.0,0.0,0.07554681194693519,0.0,1.6228332044804567e-07,0.0,0.5959487208488661,0.0,0.0
2026-03-11,0.33168913574238784,0.0,0.0,0.0,0.0,0.07555787387211416,0.0,1.616292720403743e-07,0.0,0.5927528287562261,0.0,0.0
2026-03-12,0.326644713360914,0.0,0.0,0.0,0.0,0.07616118955858407,0.0,1.6146380167162456e-07,0.0,0.5971939356167003,0.0,0.0
2026-03-13,0.33068205765861647,0.0,0.0,0.0,0.0,0.07582226439766275,0.0,1.5523119590759248e-07,0.0,0.5934955227125248,0.0,0.0
2026-03-16,0.0,0.0,0.0,0.0,0.04441960537882593,0.35557995717574353,0.0,4.37445430543908e-07,0.0,0.6,0.0,0.0
2026-03-17,0.0,0.0,0.0,0.0,0.04421345188305208,0.35845725827241853,0.0,4.30074433875105e-07,0.0,0.5973288597700954,0.0,0.0
2026-03-18,0.0,0.0,0.0,0.0,0.043851270793417156,0.35939907995199627,0.0,4.3084652398100376e-07,0.0,0.5967492184080625,0.0,0.0
2026-03-19,0.0,0.0,0.0,0.0,0.04445556437758928,0.35947318339688633,0.0,4.2542423987286987e-07,0.0,0.5960708268012844,0.0,0.0
2026-03-20,0.0,0.0,0.0,0.0,0.044805480844694,0.35900397770420717,0.0,4.242037563202964e-07,0.0,0.5961901172473425,0.0,0.0
2026-03-23,0.3707230551587119,0.0,0.0,0.0,0.0,2.4193486383692404e-07,0.0,0.0292767029064243,0.0,0.6,0.0,0.0
2026-03-24,0.38023590953615594,0.0,0.0,0.0,0.0,2.308138142462709e-07,0.0,0.028512697110647942,0.0,0.5912511625393818,0.0,0.0
2026-03-25,0.375788248187663,0.0,0.0,0.0,0.0,2.3137560395052686e-07,0.0,0.028628763816538207,0.0,0.595582756620195,0.0,0.0
2026-03-26,0.3617606470910389,0.0,0.0,0.0,0.0,2.3463533488600719e-07,0.0,0.02767345705799014,0.0,0.6105656612156362,0.0,0.0
2026-03-27,0.36558924221914335,0.0,0.0,0.0,0.0,2.3251223372491725e-07,0.0,0.02696174531675155,0.0,0.6074487799518714,0.0,0.0
2026-03-30,0.3999995849769115,0.0,0.0,0.0,4.1502308853572727e-07,0.0,0.0,0.0,0.0,0.6,0.0,0.0
2026-03-31,0.40550297067103347,0.0,0.0,0.0,4.005905524634113e-07,0.0,0.0,0.0,0.0,0.5944966287384141,0.0,0.0
2026-04-01,0.41087973258838495,0.0,0.0,0.0,3.9384187066602105e-07,0.0,0.0,0.0,0.0,0.5891198735697445,0.0,0.0
2026-04-02,0.4069338313654849,0.0,0.0,0.0,4.0374079916431854e-07,0.0,0.0,0.0,0.0,0.5930657648937159,0.0,0.0
2026-04-06,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.6,0.0,0.0
2026-04-07,0.0,0.0,0.0,0.0,0.4006784688539661,0.0,0.0,0.0,0.0,0.5993215311460339,0.0,0.0
2026-04-08,0.0,0.0,0.0,0.0,0.4024686922274556,0.0,0.0,0.0,0.0,0.5975313077725444,0.0,0.0
2026-04-09,0.0,0.0,0.0,0.0,0.3993237815664139,0.0,0.0,0.0,0.0,0.6006762184335861,0.0,0.0
2026-04-10,0.0,0.0,0.0,0.0,0.396226595438638,0.0,0.0,0.0,0.0,0.603773404561362,0.0,0.0
2026-04-13,0.3865674760696298,0.0,0.0,0.0,0.0,0.013432284432161525,0.0,0.0,2.3949820865022797e-07,0.6,0.0,0.0
2026-04-14,0.38216445284821776,0.0,0.0,0.0,0.0,0.013761831652484628,0.0,0.0,2.439867352920595e-07,0.6040734715125624,0.0,0.0
