Date,AMAT,AMD,AMZN,COST,CSCO,GOOGL,ISRG,META,NFLX,SPY,TSLA,TXN
2026-01-16,326.6026916503906,231.8300018310547,239.1199951171875,960.9010620117188,74.7847671508789,329.7678527832031,535.0,619.7194213867188,88.0,689.7761840820312,437.5,189.37539672851562
2026-01-20,317.8336181640625,231.9199981689453,231.0,961.5492553710938,72.95468139648438,321.77349853515625,527.4400024414062,603.6032104492188,87.26000213623047,675.7345581054688,419.25,187.40829467773438
2026-01-21,324.8348693847656,249.8000030517578,231.30999755859375,980.096923828125,73.29285430908203,328.1490173339844,523.6900024414062,612.4356689453125,85.36000061035156,683.5332641601562,431.44000244140625,192.17283630371094
2026-01-22,318.3929138183594,253.72999572753906,234.33999633789062,973.4257202148438,73.92940521240234,330.3074951171875,525.8099975585938,647.0759887695312,83.54000091552734,687.103515625,449.3599853515625,192.74615478515625
2026-01-23,321.97845458984375,259.67999267578125,239.16000366210938,980.48583984375,74.18799591064453,327.6993103027344,523.989990234375,658.1964721679688,86.12000274658203,687.352783203125,449.05999755859375,191.08547973632812
2026-01-26,319.06207275390625,251.30999755859375,238.4199981689453,974.9215087890625,76.59496307373047,333.02557373046875,528.8099975585938,671.7847900390625,85.69999694824219,690.84326171875,435.20001220703125,194.32772827148438
2026-01-27,332.2955627441406,252.02999877929688,244.67999267578125,967.5523071289062,78.2559585571289,334.31463623046875,525.0399780273438,672.394287109375,85.58000183105469,693.5957641601562,430.8999938964844,194.36727905273438
2026-01-28,336.3305358886719,252.74000549316406,243.00999450683594,958.0790405273438,78.5344467163086,335.7736511230469,522.0399780273438,668.1578979492188,84.63999938964844,693.5259399414062,431.4599914550781,213.6824188232422
2026-01-29,340.9148254394531,252.17999267578125,241.72999572753906,950.211181640625,78.00730895996094,338.0120544433594,507.54998779296875,737.6784057617188,83.16000366210938,692.1497192382812,416.55999755859375,216.45021057128906
2026-01-30,321.91851806640625,236.72999572753906,239.3000030517578,938.8876342773438,77.89789581298828,337.7622375488281,504.2200012207031,715.8870849609375,83.48999786376953,690.0853271484375,430.4100036621094,214.46031188964844
2026-02-02,327.9909362792969,246.27000427246094,242.9600067138672,966.9569091796875,80.20539093017578,343.4482421875,496.7300109863281,705.8056640625,82.76000213623047,693.5159912109375,421.80999755859375,223.8724822998047
2026-02-03,318.2730712890625,242.11000061035156,238.6199951171875,976.5030517578125,82.6620864868164,339.47100830078125,478.8800048828125,691.1082763671875,79.94000244140625,687.6520385742188,421.9599914550781,224.0714874267578
2026-02-04,297.22930908203125,200.19000244140625,232.99000549316406,976.9324340820312,80.72259521484375,332.80572509765625,478.489990234375,668.417724609375,80.16000366210938,684.3211059570312,406.010009765625,221.79306030273438
2026-02-05,303.611328125,192.5,222.69000244140625,987.8565673828125,81.91612243652344,331.0169677734375,476.32000732421875,669.63671875,80.87000274658203,675.7744750976562,397.2099914550781,222.8477020263672
2026-02-06,322.1082763671875,208.44000244140625,210.32000732421875,999.7093505859375,84.36286926269531,322.63287353515625,488.1499938964844,660.8941650390625,82.19999694824219,688.739013671875,411.1099853515625,220.32054138183594
2026-02-09,330.1582336425781,216.0,208.72000122070312,996.1445922851562,86.31230163574219,324.09185791015625,492.8399963378906,676.640625,81.47000122070312,692.0599975585938,417.32000732421875,217.66404724121094
2026-02-10,328.6601257324219,213.57000732421875,206.9600067138672,969.82275390625,85.82494354248047,318.3558654785156,495.1499938964844,670.1461791992188,82.20999908447266,690.2349243164062,425.2099914550781,219.80316162109375
